min_dist,tiny_forest_area,0
0.5,20.0,2849.0
0.5,30.0,2118.0
0.5,40.0,1657.0
0.5,50.0,1343.0
0.5,60.0,1103.0
0.5,70.0,941.0
0.5,80.0,822.0
0.5,90.0,706.0
0.5,100.0,633.0
0.5,110.0,573.0
0.5,120.0,525.0
0.5,130.0,483.0
0.5,140.0,432.0
0.5,150.0,409.0
0.5,160.0,379.0
0.5,170.0,353.0
0.5,180.0,332.0
0.5,190.0,312.0
0.5,200.0,287.0
0.5,210.0,276.0
0.5,220.0,262.0
0.5,230.0,248.0
0.5,240.0,236.0
0.5,250.0,228.0
0.5,260.0,215.0
0.5,270.0,200.0
0.5,280.0,196.0
0.5,290.0,184.0
0.5,300.0,176.0
0.5,310.0,173.0
0.5,320.0,160.0
0.5,330.0,154.0
0.5,340.0,152.0
0.5,350.0,145.0
0.5,360.0,134.0
0.5,370.0,131.0
0.5,380.0,131.0
0.5,390.0,129.0
1.0,20.0,2837.0
1.0,30.0,2111.0
1.0,40.0,1653.0
1.0,50.0,1344.0
1.0,60.0,1103.0
1.0,70.0,941.0
1.0,80.0,821.0
1.0,90.0,708.0
1.0,100.0,633.0
1.0,110.0,573.0
1.0,120.0,526.0
1.0,130.0,483.0
1.0,140.0,433.0
1.0,150.0,409.0
1.0,160.0,379.0
1.0,170.0,353.0
1.0,180.0,332.0
1.0,190.0,312.0
1.0,200.0,287.0
1.0,210.0,276.0
1.0,220.0,262.0
1.0,230.0,248.0
1.0,240.0,236.0
1.0,250.0,228.0
1.0,260.0,215.0
1.0,270.0,200.0
1.0,280.0,196.0
1.0,290.0,184.0
1.0,300.0,176.0
1.0,310.0,173.0
1.0,320.0,160.0
1.0,330.0,154.0
1.0,340.0,152.0
1.0,350.0,145.0
1.0,360.0,134.0
1.0,370.0,131.0
1.0,380.0,131.0
1.0,390.0,129.0
1.5,20.0,2856.0
1.5,30.0,2131.0
1.5,40.0,1664.0
1.5,50.0,1342.0
1.5,60.0,1103.0
1.5,70.0,941.0
1.5,80.0,820.0
1.5,90.0,708.0
1.5,100.0,633.0
1.5,110.0,573.0
1.5,120.0,526.0
1.5,130.0,483.0
1.5,140.0,433.0
1.5,150.0,409.0
1.5,160.0,379.0
1.5,170.0,353.0
1.5,180.0,332.0
1.5,190.0,312.0
1.5,200.0,287.0
1.5,210.0,276.0
1.5,220.0,262.0
1.5,230.0,248.0
1.5,240.0,236.0
1.5,250.0,228.0
1.5,260.0,215.0
1.5,270.0,200.0
1.5,280.0,196.0
1.5,290.0,184.0
1.5,300.0,176.0
1.5,310.0,173.0
1.5,320.0,160.0
1.5,330.0,154.0
1.5,340.0,152.0
1.5,350.0,145.0
1.5,360.0,134.0
1.5,370.0,131.0
1.5,380.0,131.0
1.5,390.0,129.0
1.83,20.0,2847.0
1.83,30.0,2124.0
1.83,40.0,1661.0
1.83,50.0,1343.0
1.83,60.0,1101.0
1.83,70.0,940.0
1.83,80.0,822.0
1.83,90.0,708.0
1.83,100.0,632.0
1.83,110.0,573.0
1.83,120.0,526.0
1.83,130.0,483.0
1.83,140.0,433.0
1.83,150.0,409.0
1.83,160.0,379.0
1.83,170.0,353.0
1.83,180.0,332.0
1.83,190.0,312.0
1.83,200.0,287.0
1.83,210.0,276.0
1.83,220.0,262.0
1.83,230.0,248.0
1.83,240.0,236.0
1.83,250.0,228.0
1.83,260.0,215.0
1.83,270.0,200.0
1.83,280.0,196.0
1.83,290.0,184.0
1.83,300.0,176.0
1.83,310.0,173.0
1.83,320.0,160.0
1.83,330.0,154.0
1.83,340.0,152.0
1.83,350.0,145.0
1.83,360.0,134.0
1.83,370.0,131.0
1.83,380.0,131.0
1.83,390.0,129.0
2.44,20.0,2831.0
2.44,30.0,2141.0
2.44,40.0,1663.0
2.44,50.0,1345.0
2.44,60.0,1102.0
2.44,70.0,941.0
2.44,80.0,822.0
2.44,90.0,708.0
2.44,100.0,632.0
2.44,110.0,573.0
2.44,120.0,526.0
2.44,130.0,483.0
2.44,140.0,433.0
2.44,150.0,409.0
2.44,160.0,379.0
2.44,170.0,353.0
2.44,180.0,332.0
2.44,190.0,312.0
2.44,200.0,287.0
2.44,210.0,276.0
2.44,220.0,262.0
2.44,230.0,248.0
2.44,240.0,236.0
2.44,250.0,228.0
2.44,260.0,215.0
2.44,270.0,200.0
2.44,280.0,196.0
2.44,290.0,184.0
2.44,300.0,176.0
2.44,310.0,173.0
2.44,320.0,160.0
2.44,330.0,154.0
2.44,340.0,152.0
2.44,350.0,145.0
2.44,360.0,134.0
2.44,370.0,131.0
2.44,380.0,131.0
2.44,390.0,129.0
4.5,20.0,2833.0
4.5,30.0,2134.0
4.5,40.0,1646.0
4.5,50.0,1341.0
4.5,60.0,1102.0
4.5,70.0,941.0
4.5,80.0,822.0
4.5,90.0,707.0
4.5,100.0,633.0
4.5,110.0,573.0
4.5,120.0,526.0
4.5,130.0,483.0
4.5,140.0,433.0
4.5,150.0,409.0
4.5,160.0,379.0
4.5,170.0,353.0
4.5,180.0,332.0
4.5,190.0,312.0
4.5,200.0,287.0
4.5,210.0,276.0
4.5,220.0,262.0
4.5,230.0,248.0
4.5,240.0,236.0
4.5,250.0,228.0
4.5,260.0,215.0
4.5,270.0,200.0
4.5,280.0,196.0
4.5,290.0,184.0
4.5,300.0,176.0
4.5,310.0,173.0
4.5,320.0,160.0
4.5,330.0,154.0
4.5,340.0,152.0
4.5,350.0,145.0
4.5,360.0,134.0
4.5,370.0,131.0
4.5,380.0,131.0
4.5,390.0,129.0
